Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Company
09-09-2019,52.84245975,53.23600034,51.91518598,52.67766571,109237600,0,0,AAPL
10-09-2019,52.60141113,53.31961942,52.07259456,53.29994202,127111600,0,0,AAPL
11-09-2019,53.63691427,55.02413926,53.55328437,54.99462128,177158400,0,0,AAPL
12-09-2019,55.29223575,55.69069283,54.81506907,54.87163925,128906800,0,0,AAPL
13-09-2019,54.11161726,54.3059255,53.37865186,53.80416489,159053200,0,0,AAPL
16-09-2019,53.55329155,54.14360245,53.51147847,54.0870285,84632400,0,0,AAPL
17-09-2019,54.10178879,54.3133162,53.89517791,54.28379822,73274800,0,0,AAPL
18-09-2019,54.37233413,54.812608,53.97387707,54.7929306,101360000,0,0,AAPL
19-09-2019,54.60600482,55.03643818,54.20262742,54.3477478,88242400,0,0,AAPL
20-09-2019,54.45105076,54.74128402,53.48933876,53.55328751,221652400,0,0,AAPL
23-09-2019,53.85335745,54.07226339,53.53360623,53.79678726,76662000,0,0,AAPL
24-09-2019,54.36495898,54.72406501,53.42046618,53.54098511,124763200,0,0,AAPL
25-09-2019,53.75498279,54.48056976,53.40817555,54.36496735,87613600,0,0,AAPL
26-09-2019,54.11162399,54.3428288,53.82384898,54.08456802,75334000,0,0,AAPL
27-09-2019,54.24444313,54.34775045,53.44260858,53.82139206,101408000,0,0,AAPL
30-09-2019,54.33298789,55.23812973,54.30593193,55.0880928,103909600,0,0,AAPL
01-10-2019,55.35865357,56.13343215,55.14466414,55.24058914,139223200,0,0,AAPL
02-10-2019,54.86426125,54.99216249,53.60247549,53.8558197,138449200,0,0,AAPL
03-10-2019,53.72545994,54.34774705,52.91378862,54.31331253,114426000,0,0,AAPL
04-10-2019,55.498845,55.95387603,55.06841166,55.83581161,138478800,0,0,AAPL
07-10-2019,55.65380955,56.5540274,55.54804396,55.84811783,122306000,0,0,AAPL
08-10-2019,55.54312453,56.09407685,55.1766399,55.19385529,111820000,0,0,AAPL
09-10-2019,55.84073257,56.02766228,55.49884567,55.84073257,74770400,0,0,AAPL
10-10-2019,56.0621013,56.67946815,55.90714784,56.59337997,113013600,0,0,AAPL
11-10-2019,57.29682888,58.45039089,57.1394134,58.09866714,166795600,0,0,AAPL
14-10-2019,57.77644657,58.57090618,57.71987639,58.01502991,96427600,0,0,AAPL
15-10-2019,58.14293804,58.45284871,57.7715369,57.87976074,87360000,0,0,AAPL
16-10-2019,57.40013335,57.8600847,57.35832027,57.64609528,73903200,0,0,AAPL
17-10-2019,57.82318165,58.08390066,57.43702342,57.86991501,67585200,0,0,AAPL
18-10-2019,57.70021275,58.43564033,57.62642341,58.1478653,97433600,0,0,AAPL
21-10-2019,58.42087962,59.27436784,58.37168799,59.15630341,87247200,0,0,AAPL
22-10-2019,59.31617634,59.57197508,58.93739289,59.0210228,82293600,0,0,AAPL
23-10-2019,59.54738702,59.82778348,59.33093931,59.81302261,75828800,0,0,AAPL
24-10-2019,60.14014644,60.21147749,59.47605002,59.91140366,69275200,0,0,AAPL
25-10-2019,59.80810266,60.68618478,59.73923362,60.64929199,73477200,0,0,AAPL
28-10-2019,60.85589773,61.3060085,60.68372514,61.25681686,96572800,0,0,AAPL
29-10-2019,61.23714607,61.42899609,59.66299111,59.84008026,142839600,0,0,AAPL
